"Maximum quantity of %1 exceeded. Value was set to maximum allowed","Maximum quantity of %1 exceeded. Value was set to maximum allowed"
"Minimum quantity of %1 exceeded. Value was set to minimum allowed","Minimum quantity of %1 exceeded. Value was set to minimum allowed"
"Please enter a value that is incremental of %1","Please enter a value that is incremental of %1"
